technical_interests,interests,non_technical_interests,achievements,career
blockchain,community service,creativity,volunteer work,11
mobile app development,photography,innovation,special projects,27
statistics,sports,traveling,awards,24
cloud computing,sociology,sociology,coding competition wins,24
electronics,business,sports,writing competition wins,29
artificial intelligence,media and communications,photography,awards,20
game development,education,economics,writing competition wins,37
cybersecurity,design,cooking,travel experiences,10
logical thinking,psychology,space,charity work,9
blockchain,fashion,traveling,travel experiences,28
web development,human rights,economics,travel experiences,26
problem solving,gaming,animals,robotics competition wins,18
cybersecurity,innovation,management,musical achievements,34
computer vision,psychology,nature,mathematics competition wins,3
networking,history,chemistry,philanthropic work,21
big data,finance,entrepreneurship,charity work,33
ux/ui,sports,nature,fundraising efforts,14
software testing,business,traveling,community building,2
problem solving,design,history,community building,21
digital logic design,human rights,animals,mathematics competition wins,13
data analysis,literature,photography,community building,29
quantum computing,social media,economics,community building,22
operating systems,human rights,health,entrepreneurial ventures,38
digital logic design,social media,sociology,mathematics competition wins,24
natural language processing,video editing,fashion,grants,30
big data,design,geography,internship experiences,5
biology,animals,entrepreneurship,public speaking awards,26
algorithm design,cooking,medicine,leadership roles,20
natural language processing,writing,chemistry,fundraising efforts,27
artificial intelligence,music,physics,environmental initiatives,12
machine learning,history,history,business ventures,2
robotics,politics,entrepreneurship,writing competition wins,23
AR/VR,sports,medicine,awards,15
ux/ui,innovation,finance,special projects,10
problem solving,nature,fashion,entrepreneurial ventures,5
blockchain,fashion,architecture,mathematics competition wins,24
AR/VR,photography,physics,musical achievements,4
mobile app development,gaming,history,social media influence,17
quantum computing,human rights,design,certifications,33
natural language processing,sociology,music,community building,33
algorithm design,fitness,physics,patents,4
blockchain,photography,art,artistic accomplishments,9
problem solving,health,space,charity work,37
computational biology,traveling,languages,travel experiences,35
operating systems,innovation,management,patents,14
geographic information systems,photography,philosophy,robotics competition wins,4
computational biology,fashion,creativity,leadership roles,26
algorithm design,media and communications,law,fundraising efforts,30
chemistry,culture,management,hackathon wins,3
statistics,psychology,art,sports achievements,17
quantum computing,psychology,nature,artistic accomplishments,9
bioinformatics,volunteering,medicine,certifications,21
